,Priority,text
4650,P3,method declaration class interface abstract class suggest have class interface abstract class eclipse add declaration abstract class editor
4653,P2,project fragment root project package fragment root infos same cache other do want meantime decrease default size cache
4657,P2,test build have same problem bug try run previous have test perspective recompile test case problem stack trace console window try run test case connect org.eclipse.jdt.internal.junit.runner org.eclipse.jdt.internal.junit.runner org.eclipse.jdt.internal.junit.runner
4658,P5,mnemonic tableviewer label list java mnemonic dialog focus go list java checkbox
4664,P2,loading browser compare java file choose load different revision get java class load different revision variety execute runnable Workbench.runEventLoop(Workbench.java trace exception org.eclipse.ui.texteditor org.eclipse.ui.texteditor org.eclipse.ui.texteditor org.eclipse.ui.texteditor Workbench.runEventLoop(Workbench.java
4672,P3,unhandle debug exception workspace runtime workspace launch incompatible class library error dialog unhandled exception error exception stack trace console output com.sun.jdi org.eclipse.jdi.internal.connect org.eclipse.jdi.internal.connect org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdi.internal VirtualMachineImpl.java:839 RelaunchHistoryLaunchAction$1.run Workbench.runEventLoop(Workbench.java class library error create
4673,P3,anonymous inner type type line pane view inspect exception line line line line line line line line line line
4680,P3,try catch implement
4684,P3,variable declaration statement implement
4685,P2,console output slow program page debuging info long time print console slow slow console option have popup menu item refresh need word do
4686,P2,problem get error open file code plug in org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor TextViewer.updateTextListeners(TextViewer.java:1257 TextViewer.invalidateTextPresentation(TextViewer.java:1829 org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor PartPane$1.run(PartPane.java:53 EditorManager.openInternalEditor(EditorManager.java:460 EditorManager.openEditor(EditorManager.java:361 org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor EditorUtility.openInEditor(EditorUtility.java:89 Tree.mouseDoubleClick(Tree.java:993 Display.readAndDispatch(Display.java:1403 sun.reflect sun.reflect sun.reflect
4687,P2,template context field swap reproduce dialog page template double clicking template click edit button context field dialog item vice
4690,P4,menu navigate tree go color tab screen a list foreground customize umbrella option much code propose add option similar + think split code a little more a feature other have
4693,P2,try catch run time surround try catch c code run time exception bad practice catch run time exception default
4695,P4,adjustment handle single line multi line conversion enter comment comment convert multi - line comment position cursor hit editor position cursor hit end result comment comment adjustment handle case add final line
4699,P1,extract method method try extract range new get walkback org.eclipse.jdt.internal.corext.dom org.eclipse.jdt.internal.corext.dom Workbench.runEventLoop(Workbench.java
4700,P2,paste non - java view copy non - java explorer select project view paste ->nothing
4701,P2,field handle org.junit select rename rename field getter ->update getter setter disabled be getter setter have handle case instance variable
4704,P2,wizard -use flag find activate -use option
4706,P4,assist build have import threshold set package do code assist get import do code assist get import import second line have organize fix
4707,P1,wizard default package empty project create A.java default package export wizard select default package press javadoc source package source package error know a general javadoc problem
4710,P3,try open editor error editor stack trace place breakpoint line call method get perform step org.eclipse.core.internal.runtime isaferunnable line ISafeRunnable line line line line line line boolean line line line boolean line boolean line line line boolean boolean line boolean line boolean line boolean line line line line line line line line line line line line line line line line line line line line line line line line line line
4711,P2,assist insert method work extra top level compilation unit generate method implementation be body new method extra package org.eclipse.ui.views.navigator import import import action group open public class private navigator private private public static final = public navigator this.navigator = navigator private void = new = new boolean = (; selection boolean = selection selection selection
4712,P2,sluggish large field view open sluggish outline key press have delay
4717,P1,log build reproducable notice console while org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core AddBreakpointAction.breakpointCanBeCre Workbench.runEventLoop(Workbench.java exist org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core AddBreakpointAction.breakpointCanBeCre Workbench.runEventLoop(Workbench.java exist
4718,P2,remote connection type new extension point support extensible set establish connection remote . extension point plugin . standard socket attach connector .
4719,P2,highlighting disappear problem save class public class b public void b new problem underline declaration reference a type exist define type compile go A.java error underlining eye view indicate reverse true delete type problem painting eye view show type editor
4721,P1,handle launch history seem change configuration know behaviour confusing self environment launch config launch debug mode configuration shutdown dropdown button pick page change runtime workbench Hit apply button close dialog use debug history try runtime workbench launch setClassPathImpl time point figure launch answer debug dialog runtime workbench hit button debug launch history identical runtime workbench other impossible distinguish
4722,P2,up suggest delete up method default pull up wizard element least up method source class default
4724,P2,view provide file resource transfer element news group valid file folder package project get method field valid internal actual possible event modify available set transfer operation enter cursor appear null scenario
4726,P2,method provide option add run time run time exception method method declaration option supress behaviour wizard default option setting
4731,P2,disable detail pane breakpoint debugger inconsistent state further invocation result perform nested evaluation message step method hit breakpoint invoke code think
4732,P2,code assist qualified type package p import public abstract class public void new choose method get qualified name java code assist preference insert import statement
4736,P1,find externalize projectz context menu dialog see log class error index range
4737,P2,small bug wizard build following click point finish button click checkbox finish button way enable valid style sheet do same
4739,P1,error eval timeout case breakpoint first line evaluate note size get timeout dialog think eval
4740,P2,move disabled outline context menu move disabled outline context menu move nt menu restructuring
4743,P2,code assist method assist method local variable field
4745,P2,startup build exception log file startup previous session program app org.eclipse.debug.ui root element document
4750,P3,static field pull method method empty superclass refactoring wizard add import static field compile refactor complete other necessary type parent label button new new GridData(GridData int return button
4752,P1,launcher run benchmark exception display stack trace think trace
4755,P2,configuration error open dialog select node press button press button message dialog header config name click configuration press error message
4756,P1,following wlakback file execute runnable assertion trace exception assertion org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor ProblemPainter.java:63 org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor
4757,P2,get evaluation context newsgroup use scrapbook retrieve evaluation context reproduce problem individual work wrong
4758,P2,runnable run workspace runnable run call runnable same bug
4759,P2,caption do search hierarchy dialog query corresponding type build path build path execution class path different code build path code execution class path build path incorrect required build path think caption
4761,P1,believe bug org.eclipse.jdt.internal.codeassist code detail pane view class such get believe completion engine be type line generate org.eclipse.jdt.internal.core
4763,P2,source appear end classpath add new source folder build path prefer add new action view end classpath new source folder want other source beginning classpath
4764,P1,log afternoon build log file seem debugger typical work code preference page such method method visibility other attach log file
4765,P2,exception conditional breakpoint workbench plugin import wizard breakpoint Workbench.run(Object line conditional breakpoint time workbench error dialog pop have compilation
4766,P1,org.eclipse.jdt.internal.ui.javaeditor java build reproduce new project new class project class java editor text cause compilation problem example type text private class cause compilation problem file get valid compilation error delete text file get valid compilation get exception exception text report
4769,P2,assist type keystroke other code assist import see code assist type code assist window select correct class code assist window next char such class import code assist r type v wrong entry
4772,P1,self self occur use search test run eclipse problem call initialization code first time do search host name class org.eclipse.jdt.ui thread access Display.getSystemColor(Display.java:965 org.eclipse.ui.plugin
4773,P1,code assist build run develop class package test import javax.swing import BasicFileChooserUI public class BasicFileChooserUI public public static void args chooser cursor BasicFileChooserUI type class extended class execute runnable execute runnable sun.reflect trace exception org.eclipse.jdt.internal.codeassist org.eclipse.jdt.internal.codeassist CompilationUnit.java:84 sun.reflect
4777,P2,help response java repository correct editor java help create attachement source code use open java editor integration build org.eclipse.jdt.internal.ui.javaeditor Workbench.runEventLoop(Workbench.java
4778,P2,get full set hit thread super top debug adapter set hidden temporary order control debug adapter user breakpoint same spot temporary get suspend event breakpoint thread need able ask thread list hit get breakpoint thread see temporary breakpoint choose ignore see user breakpoint run
4780,P4,drop previous helpful select previous type move refactoring
4781,P4,- move static public static final JAR_EXTENSION= jar - public static final jardesc - public static final JAR_EXTENSION= jar public static final jardesc - - guess line
4782,P3,entry breakpoint exit entry method entry breakpoint exit entry disabled hit count breakpoint
4785,P1,theis feature m sure expect set breakpoint breakpoint hit field following ManageWatchpointAction.java:84 Workbench.runEventLoop(Workbench.java
4786,P1,browser occur org.eclipse.pde.junit project directory new configuration ActionContributionItem.java:361
4787,P3,behavior method class source code following form public abstract class non - @see public return null method boolean force monitor object above type null progress monitor false force cause definition field be comment method suspect behavior due non - comment method behavior inconsistent user - level preference non - overridden preference page user interface support style coding believe order support style recognize comment equivalent comment believe possible first be stop style coding suspect change be easy implement be difficult change make political point view second be fix non - member least method want place additional association blank comment member comment phrase non - appear first non - white space comment build
4789,P3,execution uncaught be default see problem option default certain catch catch throw keep annoying debugger catch long time find option turn plan run hit situation be save possibility problem user turn option
4790,P2,text editor following stack trace dialog option close workspace execute runnable org.eclipse.jdt.internal.ui.javaeditor notation sun.reflect trace exception org.eclipse.jdt.internal.ui.javaeditor notation org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor sun.reflect
4791,P2,editor slow large large file several more enough speed
4793,P1,rename .java file rename .java file right clicking view name valid error message use name point error dialog following exception unit name end .java org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core Workbench.runEventLoop(Workbench.java rename dialog do part rename operation cancel repeatable
4794,P1,behavior standalone example least while fix have only problem standalone team hit time debug run little class eclipse dev.eclipse.org repository autobuild important org.eclipse.swt project project pop menu view view menu little black triangle select sure need see expand org.eclipse.swt file .classpath_win32 file safe turn autobuild need put swt dll find do export eclipse directory current directory do do following view expand org.eclipse.swt/os/win32/x86 dll file system field select eclipse directory only have do above workspace paste follow little class test project run code import org.eclipse.swt import import org.eclipse.swt.layout public class static display static shell static list public static void args display new shell new list new GridData(GridData int I I i while breakpoint valid line code have debugger bug hit breakpoint debugger editor stack garbage stuck first line code call way call time hit breakpoint paste garbage stack end description only way debug code do step line set breakpoint stop ship type problem annoying annoying close empty editor time breakpoint line test line boolean line line line line test line
4796,P2,support launch click launch work move class enable single click launch create class package test run class move class package menutest run get error console similar following test thread main
4799,P2,last line manifest last line manifest file add newline end build
4801,P3,hierarchy anonymous binary type anonymous binary type part hierarchy computing hierarchy include create valid type name
4804,P1,view couple select string view switch detail pane set cursor detail pane press select delete type expression select seem work detail pane delete way press go popup menu select select startsWith(Str type portion string press be work bit do execute have execution type applicable argument test method name try method error totaly strange type applicable method work sum do work have select want execute multiple same name
4814,P3,scrapbook possible new project new scrapbook page evaluate expression hit result get dialog
4815,P1,bad compilation error program breakpoint such instance visible view string enter pane text display error dialog method int type applicable
4820,P4,modify parameter editor have select method
4823,P2,line highlighter error several different file several section green highlighter bar line change same time
4825,P2,find java figure set java new launch configuration story fourth sub - tab third tab launch configuration dialog monitor least fourth tab visible fit screen have scroll nested find variable important first top level tab runtime configuration find setting easy make assumption default set preference page old launch story
4830,P2,default scope interesting selection request have simple compilation unit public class public int x public float y public z have first public x y bring find dialog scope default guess interesting selection more word alternate definition more line later be want truncate search string case
4832,P1,selection org.eclipse.jdt.internal.core JavaElement.java:460 org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core AddBreakpointAction.breakpointCanBeCre
4833,P1,ignore enter .xml;*.classpath dialog enter .xml .classpath note space .classpath trivial example dialog space
4836,P2,special case large project . byte code invalid . throw . bottom post listing code problem . problem build last stable build . problem information . code eclipse . code eclipse stand . code 1.3.1 create . import . import . public class private void v value be initialize . value loop enumeration be . e = try be . value = x be block catch be present . continue public static void
4838,P3,local history preserve line history file line \r\n\r second \r
4839,P4,internal type result compile time error disadvantage save get dialog few have press button get source difficult dialog internal error execute runnable assertion error log more execute runnable assertion sun.reflect sun.reflect sun.reflect trace exception assertion org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor sun.reflect sun.reflect sun.reflect org.eclipse.team.cvs.core contain folder meta information org.eclipse.team.cvs.core contain folder meta information org.eclipse.team.cvs.core contain folder meta- information org.eclipse.team.cvs.core contain folder meta information org.eclipse.team.cvs.core contain folder meta- information org.eclipse.team.cvs.core contain folder meta information org.eclipse.team.cvs.core contain folder meta information org.eclipse.team.cvs.core framework contain folder meta information org.eclipse.team.cvs.core contain folder meta- information org.eclipse.team.cvs.core lib contain folder meta information org.eclipse.team.cvs.core contain folder meta- information org.eclipse.team.cvs.core contain folder meta information org.eclipse.team.cvs.core contain folder meta- information org.eclipse.team.cvs.core contain folder meta information org.eclipse.team.cvs.core contain folder meta- information org.eclipse.team.cvs.core contain folder meta information exception event loop execute runnable assertion execute runnable assertion sun.reflect sun.reflect sun.reflect trace exception assertion assertion org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor sun.reflect sun.reflect sun.reflect exception event loop execute runnable assertion execute runnable assertion sun.reflect sun.reflect sun.reflect trace exception assertion assertion org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor sun.reflect sun.reflect sun.reflect exception event loop execute runnable assertion execute runnable assertion sun.reflect sun.reflect sun.reflect trace exception assertion assertion org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor sun.reflect sun.reflect sun.reflect exception event loop execute runnable assertion execute runnable assertion sun.reflect sun.reflect sun.reflect trace exception assertion assertion org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor sun.reflect sun.reflect sun.reflect exception event loop execute runnable assertion execute runnable assertion sun.reflect sun.reflect sun.reflect trace exception assertion assertion org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor sun.reflect sun.reflect sun.reflect exception event loop execute runnable assertion execute runnable assertion sun.reflect sun.reflect sun.reflect trace exception assertion assertion org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor sun.reflect sun.reflect sun.reflect exception event loop execute runnable assertion execute runnable assertion sun.reflect sun.reflect sun.reflect trace exception assertion assertion org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor sun.reflect sun.reflect sun.reflect
4840,P4,classpath variable rename classpath variable workspace variable get compile time least option update variable
4843,P2,proposal method declaration create interface interface foo create abstract class public class foo do cursor location method foo problem default abstract method s completion engine propose method
4848,P2,problem painter source workspace open execute runnable Workbench.runEventLoop(Workbench.java trace exception org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor Workbench.runEventLoop(Workbench.java
4849,P2,find externalize cancelable busy cursor show progress dialog cancelation
4850,P2,use expand selection like reserve editor history navigation map back forward have example allow hit follow call chain use back button mouse navigate web browser use combo know Alt+Up find accelerator combination compass investigate
4851,P1,clicking .java exception .java editor right click bring popup menu text get following
4852,P1,line file editor hit line get following exception ActionContributionItem.handleWidgetEvent(ActionContributionItem.java:361 sun.reflect sun.reflect sun.reflect
4853,P2,keep last selection click replace find replace dialog text preserve highlight text
4854,P2,complete parameter help work arg code complete arg get parameter help need order determine type argument want pass
4855,P2,save attempt fail many crashs common scenario defect easy reproduce constructor least argument add word private first argument declaration similar public class public int i
4856,P2,dialog combine same name bar quux open dialog type list have + | | | + incorrect list look + | | + suspect due compare function distinguish differ case appear arbitrary order sorted list
4857,P4,refactor code context menu java guide file context menu dialog select destination other refactor code drop release level package build ca1311 v1.0.3
4862,P1,evaluation binary source hit breakpoint int int expression current line error new first line new previous case block type first line
4865,P2,typecomment filecomment support have default be empty avoid unhelpful help user find customize suggest comment empty description change default filecomment date change comment edit template variable filecomment issue have tell translate file
4872,P2,menu current ordering find change action appear same group
4873,P3,qualified assignment final field failure instance-5 blank final field simple name test case final int =
4874,P2,nature project bring like package view nature enough cause project show package view create base project edit .project file add nature builder org.eclipse.jdt.core.javabuilder org.eclipse.jdt.core.javanature org.eclipse.team.cvs.core.cvsnature switch package view notice project go navigator force close open other package view
4875,P2,+ class organize c program accompanying available v0.5 distribution available http://www.eclipse.org/legal/cpl-v05.html initial implementation package import public class private private private private private private MultiElementListSelectionDialog.buttonPresse AbstractElementListSelectionDialog$1.widgetD org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor ActionContributionItem.java:361
4876,P1,name match name runtime workbench launch config name name dev . name validation ensure identical . Compliance_1_3 second Compliance_1 .
4877,P1,find bundle base name org.eclipse.jdt.internal.ui.text.correction ResourceBundle.getBundleImpl(ResourceBundle.java:683 org.eclipse.jdt.internal.ui.text.correction org.eclipse.jdt.internal.ui.text.correction org.eclipse.jdt.internal.ui.text.correction org.eclipse.jdt.internal.ui.text.correction JavaCorrectionProcessor.computeCompl org.eclipse.jdt.internal.ui.text.correction org.eclipse.ui.texteditor.TextOperationAction.run org.eclipse.ui.texteditor.RetargetTextEditorAction.run ActionContributionItem.java:361
4880,P2,show ruler ruler example see test case
4883,P2,open multipage editor thread access jar build install mulitpage editor example workspace project create file type multipage editor new file editor open select jar file click finish get thread access
4884,P2,eval use java debug model level indirection eval model use java debug model
4885,P2,error message keyboard temporary error nice need way error message keyboard accessibility usability issue do want use mouse show error status line squiggle show window quick fix do
4886,P3,focus like full build change compiler recompile default focus dialog absentminded enter mean many time
4889,P1,line conditional breakpoint step line end line conditional breakpoint condition false thread breakpoint condition condition
4890,P2,breakpoint update expression var view conditional breakpoint var expr eval noticeable tight loop value expression view loop time condition evald expr view
4891,P2,highight debugger debugger line source line next line light blue debugger editor go marker java editor problem marker configuration
4894,P2,create new build try create get error finish name get nest entry entry folder source folder problem
4898,P3,hi have code package swingset import import javax.swing import junit.extensions.jfcunit import import result package swingset import import javax.swing import javax.swing import junit.extensions.jfcunit import junit.extensions.jfcunit import last import statement compile error
4900,P2,edit editing string internal failure notification execute runnable trace exception org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor
4901,P2,fast editing code assist version build important machine slow private new code snippet opend code assist continue type keyboard statement enter paste code assist build backspace new valid org.eclipse.jdt.internal.ui.javaeditor org.eclipse.ui.texteditor.TextOperationAction.run ActionContributionItem.java:361 sun.reflect DefaultUndoManager.internalRedo DefaultUndoManager.java:407 org.eclipse.jdt.internal.ui.javaeditor org.eclipse.ui.texteditor.TextOperationAction.run ActionContributionItem.java:361 sun.reflect
4902,P2,delete identical class void void delete delete
4906,P2,extract local variable incorrect a type name a constructor call package p class void new extract get temp= temp new temp
4907,P1,extract method new code code save method
4908,P3,export code manifest jar file manifest file jar blank manifest file go file select project mark export class specify jar name check compress jar option check description jar file workspace mark manifest workspace specify location manifest file attach manifest file com.sbc.cb jaxb-rt-1.0-ea.jar pvjfc60.jar
4909,P2,refactoring non - static select static non - static method outline move static
4910,P2,qualified array declaration breakpoint e int boolean boolean file test instance breakpoint hit line field delta display view evaluate following snippet bugzilla wrap statement line = System.out.println(children follow internal error top stack complete stack org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine
4912,P2,progress do smoke test case bad progress press next press finish text blank most time
4917,P4,externalization tool support default package .java file default package non - externalized tool allow select default package target file previous page
4920,P3,project view project view eliminate need switch open other related have many other resource .java project develope web app
4922,P1,migrate new frame list
4923,P3,dialog remember last tab search dialog remember last tab bring first tab user
4924,P2,highlighting remain bug similar think same have new bug disappear following file public class public static void args autobuild foo get highlight error go problem
4926,P1,typo action set
4928,P1,opening type hierarchy selection selection exception open editor select resolve new beep status info
4931,P2,editor eye view cursor change compare eye view cursor hover spot editor happen
4933,P2,incorrect xml file error template remove context template dialog appear xml file incorrect dialog say attribute incorrect
4936,P1,resource bundle compare project choose local history find bundle base name ResourceBundle.getBundle(ResourceBundle.java:534 ActionContributionItem.java:361 Workbench.runEventLoop(Workbench.java
4938,P1,wizard wizard page other export tell user wizard wizard wizard tell user do
4939,P3,breakpoint dialog a. condition colon condition put hit count say value positive integer
4945,P2,description preference preference have description do start separate
4947,P1,console output new workspace create launch config class main method
4951,P1,menu
4952,P1,search message open editor change do save search dialog element string lot build launch fact do understand match build path mention unsaved case
4953,P2,work available search enable workbench working create workbench working search set available
4954,P1,deleting context menu overriden message dialog option field outliner right click context menu right want delete getter setter
4956,P3,allow ignore read only option dialog ignore read only refactore show compare view other about
4959,P4,new class wizzard constructor public class classwizzard superclass constuctor visibility public visibility
4960,P1,initial selection wrong load org.eclipse.swt project dev.eclipse.org repository select org.eclipse.swt open exporter first page last source folder project confusing
4961,P3,quick fix context menu light bulb see lightbulb know shortcut use quick fix feature context menu entry hover light bulb
4963,P1,multiplied status line info mode open tile start focus other time do writable entry status line major
4964,P3,propose fix semicolon semicolon get quick fix proposal
4966,P1,resource
4969,P2,open external javadoc unexpected error dialog url location open external javadoc error message bit scary serious stuff think information dialog do
4971,P3,eye view same line error same line name2 bird view navigate
4972,P3,menu entry context menu introduce error open context menu light bulp expect see entry submenu possible
4974,P1,ArrayOutOfBoundException launch history pref page recent open debug launch history pref page run tab select list make favorite select upper list Workbench.runEventLoop(Workbench.java
4976,P2,light bulp hard recognize file create new declare field private save file error icon vertical ruler light bulp user recognize problem quick fix error icon light bulp error quick fix use different problematic text range
4978,P1,pull menu entry pull becuase dialog
4979,P1,override menu entry override dialog
4981,P4,quick fix save package p create package p public class save mess package name change package fsfsdfsdf error indication save error marker error light show info front
4982,P1,unclear create public class public static class public void try quick fix get bell surprising
4983,P2,fix flexible cursor quick fix cursor text problem text normal usage problematic example user text public void text fix problem move cursor allow Ctrrl+1 problem
4985,P2,wrong proposal public class public void null quick fix try create null
4987,P2,variable declaration evaluation breakpoint line debug select line private display org.eclipse.jdt.internal.debug.eval.ast.engine pression(ASTEvaluationEngine.java:159 Workbench.runEventLoop(Workbench.java
4990,P1,reproduce situation several search dialog choose different entry history make change search thread access DocumentAdapter.java:257 org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core
4992,P4,quick fix strange scrolling choose class long method junit swing put end method bulb fix problem create local variable top method context
4993,P1,update font preference change java editor file change font java editor update use new font java make use current font possible update font
4994,P4,quick fix method name void d class void d fix
4995,P2,package open select package select package delete agree delete compilation package package list deselect reselect project package package list
4997,P1,mnemonic jarpackage mnemonic label mnemonic label one user use button
4998,P2,extract local variable incorrect throw new corner case public class void throw new throw new expression compile = throw new
5000,P2,right add change select block shift right space block shift first indetion tab
5001,P2,pref much People prefer select editor have uncheck code formatter tab editor redundant
5004,P1,more destination name bug open javdoc wizard project clear destination field remove open directory dialog default location use suggestion close dialog finish wizard select class javadoc project context menu select external javadoc help viewer error message page
5006,P3,marker wrong position public class public void foo save add line method foo foo(bar quick fix error bar method bar save get error method invocation foo delete method bar add parameter float method declaration foo observe error icon one line one method declaration
5007,P2,honor code formatter indention several indent clean solution use code formatter indent catch local variable extract temp
5010,P2,wrong proposal anonymous public class public void foo(float bar(new quick fix private void bar
5011,P4,method create public class public void s public void foo(float public void bar quick fix variable field local parameter type float
5012,P1,button small dialog other dialog small
5013,P2,highlight line like enter new line set cursor line new line line new line line
5014,P2,question project class main method application console question range character range
5015,P1,launch config edit empty .launch file create launch config save go file make empty press edit configuration get
5016,P4,quick fix possibility void method value public void return false fix possible propose change return type void boolean
5017,P2,new launch config ui problem tab select package run new configuration dialog error condition bug switch tab folder fix problem ui annoyance
5018,P4,copy past behaviour compilation 1)copy compilation unit compilation unit note compilation unit other comp unit package rename copyof.xxx.xxx same package 1)copy package past package same project different project past option disabled go project past same project case behave same way compilation
5019,P4,error cool work open reveal editor file active editor
5020,P1,action previous problem build action go next problem previous problem action
5022,P1,many type- file- comment contain message pref page change comment edit template variable filecomment maeschlimann change comment edit template variable typecomment public class disable option file comment
5024,P1,launch create new lauuch config make leave location empty say save OpenLaunchConfigurationsAction.java:126 Workbench.runEventLoop(Workbench.java
5027,P1,resource string have error template see dialog following title
5028,P1,wizard create wizard internal WizardSelectionPage.getNextPage Workbench.runEventLoop(Workbench.java
5031,P1,old package new package s error label provider see log
5039,P3,launch single click config create config class enough press man button run class class config have find recent
5040,P1,exception log open closing opening closing following log eror dialog open PreferenceDialog.java:403 ActionContributionItem.java:361 Workbench.runEventLoop(Workbench.java
5042,P2,breakpoint action disable editor pop up valid line install breakpoint editor pop up menu try add breakpoint disabled
5043,P2,take text selection task name open select text open context menu vertical ruler activate observe text bookmark task name
5045,P2,condition breakpoint i true condition suspend
5047,P3,code completion import public class Hey2 public static void args new org.eclipse.jdt.internal.codeassist org.eclipse.ui.texteditor.TextOperationAction.run org.eclipse.ui.texteditor.RetargetTextEditorAction.run Workbench.runEventLoop(Workbench.java
5048,P3,quick fix param public class public void int int bozo= let create method int do parameter take possible general case call
5049,P1,incremental find little press delete crtl+j press delete see little square status line information square
5050,P2,evaluation dialog accel dialog accelerator text field
5051,P2,visual indication breakpoint condition set only way tell breakpoint condition set dialog
5054,P1,feedback breakpoint hit evaluation program first swipe inner class hit notice stack stepping progress icon Hit resume finish evaluation result main thread stack selection editor Hit resume program loop public class public static void args new public void loop new private string foo public result string bar return result int true i++ try catch
5055,P2,snippet interpretation log source place breakpoint line view detail pane display error dialog correct log believe
5057,P2,label evaluation source bug line view frame cont.length expression int return return code show expression user
5060,P3,debug select public line breakpoint display org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine Workbench.runEventLoop(Workbench.java
5061,P1,method array type parameter break point go line select line get
5062,P2,breakpoint condition dialog breakpoint enable condition enter condition validator condition text empty
5063,P3,code assist org.eclipse.jdt.internal.codeassist org.eclipse.ui.texteditor.TextOperationAction.run org.eclipse.ui.texteditor.RetargetTextEditorAction.run Workbench.runEventLoop(Workbench.java
5066,P1,loading auto build deadlock long time build new workspace enable build connect open source repository select stream org.eclipse.swt.examples.launcher org.eclipse.swt.examples.paint project point progress dialog get step complete approx perform new workspace disable build connect open source repository select stream org.eclipse.swt.examples.launcher org.eclipse.swt.examples.paint project take long menu see rebuild operation quick less minute time put task list believe same amount work case suspect wrong repeatable machine machine Win2K. workspace local drive
5068,P2,show open working copy open work copy editor show explicit user input support necessary error opening
5072,P1,quick key combination java file
5073,P1,loop conditional breakpoint line put breakpoint condition lockup resume suspend button choice kill program task manager public class public static void args new public void loop int true i++ try catch e
5075,P2,terminate program conditional breakpoint get reproducable test case tight loop conditional breakpoint program or.getBooleanResult(EqualEqualOperator.java:35 org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine
5076,P2,program timing issue reproduceable tight loop conditional breakpoint condition false launch debug session get second program org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine
5077,P1,package context menu view see context menu find
